,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Month-Year,Confirmed Daily,Deaths Daily,Recovered Daily
0,Anhui,Mainland China,31.8257,117.2264,22/01/2020,1,0,0,Jan-20,1,0,0
1,Beijing,Mainland China,40.1824,116.4142,22/01/2020,14,0,0,Jan-20,14,0,0
2,Chongqing,Mainland China,30.0572,107.874,22/01/2020,6,0,0,Jan-20,6,0,0
3,Fujian,Mainland China,26.0789,117.9874,22/01/2020,1,0,0,Jan-20,1,0,0
4,Gansu,Mainland China,36.0611,103.8343,22/01/2020,0,0,0,Jan-20,0,0,0
5,Guangdong,Mainland China,23.3417,113.4244,22/01/2020,26,0,0,Jan-20,26,0,0
6,Guangxi,Mainland China,23.8298,108.7881,22/01/2020,2,0,0,Jan-20,2,0,0
7,Guizhou,Mainland China,26.8154,106.8748,22/01/2020,1,0,0,Jan-20,1,0,0
8,Hainan,Mainland China,19.1959,109.7453,22/01/2020,4,0,0,Jan-20,4,0,0
9,Hebei,Mainland China,38.0428,114.5149,22/01/2020,1,0,0,Jan-20,1,0,0
10,Heilongjiang,Mainland China,47.862,127.7615,22/01/2020,0,0,0,Jan-20,0,0,0
11,Henan,Mainland China,33.88202,113.614,22/01/2020,5,0,0,Jan-20,5,0,0
12,Hubei,Mainland China,30.9756,112.2707,22/01/2020,444,17,28,Jan-20,444,17,28
13,Hunan,Mainland China,27.6104,111.7088,22/01/2020,4,0,0,Jan-20,4,0,0
14,Inner Mongolia,Mainland China,44.0935,113.9448,22/01/2020,0,0,0,Jan-20,0,0,0
15,Jiangsu,Mainland China,32.9711,119.455,22/01/2020,1,0,0,Jan-20,1,0,0
16,Jiangxi,Mainland China,27.614,115.7221,22/01/2020,2,0,0,Jan-20,2,0,0
17,Jilin,Mainland China,43.6661,126.1923,22/01/2020,0,0,0,Jan-20,0,0,0
18,Liaoning,Mainland China,41.2956,122.6085,22/01/2020,2,0,0,Jan-20,2,0,0
