Type of Account,Account History,Reason for the Loan,Loan Amount,Account Savings,Employment History,Individual Stauts,Other Loans,Security / Collateral,Age,Residence Status,Job,Completed Other loan?,Good Loan
No Data,critical,Learning / Edu purposes,2116,0-200,5-7 Years,Male,No,Property - Real Estate,47,House Owner,Services,No,No
No Data,critical,TV,2438,No Data,7+ Years,Male,No,Savings Account,52,House Owner,Skilled Labor,No,No
No Data,critical,Buying a New Car,2144,0-200,2-5 Years,Male,No,Vehicle,48,House Owner,Skilled Labor,No,No
No Data,critical,Home furniture,2073,No Data,2-5 Years,Married,No,Vehicle,25,House Owner,Skilled Labor,Yes,No
No Data,critical,Support for Business,1276,No Data,7+ Years,Male,No,No Security,59,Renting,Services,No,No
No Data,critical,Learning / Edu purposes,6130,0-200,2-5 Years,Male,No,No Security,30,Free,Skilled Labor,No,No
No Data,critical,Buying a New Car,1394,0-200,0-2 Years,Female,No,Vehicle,37,House Owner,Professional / Management,No,No
No Data,critical,Buying a New Car,7242,0-200,2-5 Years,Male,No,Savings Account,41,House Owner,Services,No,No
No Data,critical,TV,9581,0-200,2-5 Years,Female,No,Vehicle,31,House Owner,Skilled Labor,No,No
No Data,critical,TV,734,No Data,7+ Years,Male,No,Savings Account,44,Renting,Services,No,No
No Data,critical,Support for Business,1421,0-200,2-5 Years,Female,Yes,Property - Real Estate,29,House Owner,Professional / Management,No,No
No Data,critical,TV,621,0-200,7+ Years,Male,No,Property - Real Estate,58,House Owner,Skilled Labor,No,No
No Data,critical,TV,816,No Data,7+ Years,Female,No,Savings Account,32,House Owner,Services,No,No
No Data,critical,Learning / Edu purposes,2017,No Data,5-7 Years,Female,No,Vehicle,61,House Owner,Skilled Labor,No,No
No Data,critical,Buying a New Car,7873,0-200,2-5 Years,Female,No,Property - Real Estate,24,House Owner,Skilled Labor,No,No
No Data,critical,TV,3579,No Data,7+ Years,Male,No,Property - Real Estate,45,House Owner,Skilled Labor,No,Yes
No Data,critical,Buying a Used Car,3869,0-200,7+ Years,Female,No,Vehicle,42,Renting,Professional / Management,No,No
No Data,critical,TV,1259,No Data,7+ Years,Female,No,Property - Real Estate,38,House Owner,Skilled Labor,No,Yes
