Date,Day_Name,Visitors,Revenue
09/11/2020,Monday,707,5211
10/11/2020,Tuesday,1455,10386
11/11/2020,Wednesday,1520,12475
12/11/2020,Thursday,1726,14414
13/11/2020,Friday,2134,20916
14/11/2020,Saturday,1316,12996
15/11/2020,Sunday,1287,11929
16/11/2020,Monday,1548,10072
17/11/2020,Tuesday,1448,12016
18/11/2020,Wednesday,1362,9067
19/11/2020,Thursday,2321,17660
20/11/2020,Friday,1819,15188
21/11/2020,Saturday,1180,7813
22/11/2020,Sunday,2138,21963
23/11/2020,Monday,2632,34278
24/11/2020,Tuesday,1752,18650
25/11/2020,Wednesday,627,5574
26/11/2020,Thursday,2105,17294
27/11/2020,Friday,1671,14760
28/11/2020,Saturday,1105,8091
29/11/2020,Sunday,1698,10647
30/11/2020,Monday,1541,9144
01/12/2020,Tuesday,1245,8307
02/12/2020,Wednesday,1955,14254
03/12/2020,Thursday,2171,16644
04/12/2020,Friday,1975,20607
05/12/2020,Saturday,1186,7765
06/12/2020,Sunday,1822,10075
07/12/2020,Monday,1584,9612
08/12/2020,Tuesday,1961,11601
09/12/2020,Wednesday,2464,16300
10/12/2020,Thursday,2394,17740
11/12/2020,Friday,1322,10140
12/12/2020,Saturday,1167,9097
13/12/2020,Sunday,1163,8802
14/12/2020,Monday,1772,11679
15/12/2020,Tuesday,1740,11952
16/12/2020,Wednesday,1317,9213
17/12/2020,Thursday,2330,17618
18/12/2020,Friday,2056,18161
19/12/2020,Saturday,1191,8800
20/12/2020,Sunday,1828,11737
21/12/2020,Monday,1605,12038
22/12/2020,Tuesday,1571,10245
23/12/2020,Wednesday,1288,11817
24/12/2020,Thursday,2556,19550
25/12/2020,Friday,2152,21031
26/12/2020,Saturday,2678,36283
27/12/2020,Sunday,2020,23014
28/12/2020,Monday,1480,8611
29/12/2020,Tuesday,1226,7793
30/12/2020,Wednesday,1328,9180
31/12/2020,Thursday,2295,19280
01/01/2021,Friday,2032,21428
02/01/2021,Saturday,1030,9062
03/01/2021,Sunday,1442,9952
04/01/2021,Monday,1476,8563
05/01/2021,Tuesday,1272,9418
06/01/2021,Wednesday,2054,25766
07/01/2021,Thursday,4139,30146
08/01/2021,Friday,2286,15962
09/01/2021,Saturday,1371,11249
10/01/2021,Sunday,1484,12129
11/01/2021,Monday,1571,7300
12/01/2021,Tuesday,1454,8702
13/01/2021,Wednesday,1243,7509
14/01/2021,Thursday,2753,22797
15/01/2021,Friday,2312,21245
16/01/2021,Saturday,1414,11699
17/01/2021,Sunday,1524,9602
18/01/2021,Monday,1469,8633
19/01/2021,Tuesday,1302,7287
20/01/2021,Wednesday,1659,9261
21/01/2021,Thursday,2120,14770
22/01/2021,Friday,2482,24417
23/01/2021,Saturday,1820,11329
24/01/2021,Sunday,1628,12445
25/01/2021,Monday,1430,10925
26/01/2021,Tuesday,488,2898
27/01/2021,Wednesday,1084,7049
28/01/2021,Thursday,1864,12832
29/01/2021,Friday,1844,13024
30/01/2021,Saturday,1065,7074
31/01/2021,Sunday,1582,9316
01/02/2021,Monday,1407,10479
02/02/2021,Tuesday,1496,12783
03/02/2021,Wednesday,2176,18678
04/02/2021,Thursday,2010,14696
05/02/2021,Friday,2015,17661
06/02/2021,Saturday,1488,9095
07/02/2021,Sunday,1608,9199
08/02/2021,Monday,1337,9294
09/02/2021,Tuesday,2266,20860
10/02/2021,Wednesday,1925,13602
11/02/2021,Thursday,826,6546
12/02/2021,Friday,1387,10310
13/02/2021,Saturday,599,3392
14/02/2021,Sunday,968,5772
15/02/2021,Monday,1482,9987
16/02/2021,Tuesday,1420,8422
17/02/2021,Wednesday,1171,7809
18/02/2021,Thursday,2395,24247
19/02/2021,Friday,2029,14706
20/02/2021,Saturday,1047,6427
21/02/2021,Sunday,1464,7462
22/02/2021,Monday,1428,8371
23/02/2021,Tuesday,1154,9135
24/02/2021,Wednesday,1841,13719
25/02/2021,Thursday,2248,20237
26/02/2021,Friday,2553,26608
27/02/2021,Saturday,1797,12789
28/02/2021,Sunday,1912,12036
01/03/2021,Monday,1786,13212
02/03/2021,Tuesday,1096,6155
03/03/2021,Wednesday,1068,8223
04/03/2021,Thursday,1976,16727
05/03/2021,Friday,1806,15474
06/03/2021,Saturday,1621,12850
07/03/2021,Sunday,1001,6681
