Date,Day_Name,Visitors,Revenue,Marketing Spend,Promo
09/11/2020,Monday,707,5211,651.375,No Promo
10/11/2020,Tuesday,1455,10386,1298.25,Promotion Red
11/11/2020,Wednesday,1520,12475,1559.375,Promotion Blue
12/11/2020,Thursday,1726,14414,1801.75,No Promo
13/11/2020,Friday,2134,20916,2614.5,No Promo
14/11/2020,Saturday,1316,12996,1444,Promotion Blue
15/11/2020,Sunday,1287,11929,1325.444444,Promotion Blue
16/11/2020,Monday,1548,10072,1119.111111,No Promo
17/11/2020,Tuesday,1448,12016,1092.363636,Promotion Blue
18/11/2020,Wednesday,1362,9067,906.7,No Promo
19/11/2020,Thursday,2321,17660,1605.454545,No Promo
20/11/2020,Friday,1819,15188,1687.555556,Promotion Red
21/11/2020,Saturday,1180,7813,710.2727273,No Promo
22/11/2020,Sunday,2138,21963,2745.375,Promotion Red
23/11/2020,Monday,2632,34278,4284.75,Promotion Blue
24/11/2020,Tuesday,1752,18650,1695.454545,Promotion Blue
25/11/2020,Wednesday,627,5574,696.75,Promotion Blue
26/11/2020,Thursday,2105,17294,1572.181818,Promotion Red
27/11/2020,Friday,1671,14760,1845,Promotion Red
28/11/2020,Saturday,1105,8091,899,Promotion Red
29/11/2020,Sunday,1698,10647,1330.875,Promotion Red
30/11/2020,Monday,1541,9144,1016,No Promo
01/12/2020,Tuesday,1245,8307,923,No Promo
02/12/2020,Wednesday,1955,14254,1425.4,Promotion Red
03/12/2020,Thursday,2171,16644,1664.4,No Promo
04/12/2020,Friday,1975,20607,2575.875,Promotion Blue
05/12/2020,Saturday,1186,7765,776.5,No Promo
06/12/2020,Sunday,1822,10075,915.9090909,Promotion Red
07/12/2020,Monday,1584,9612,961.2,Promotion Red
08/12/2020,Tuesday,1961,11601,1450.125,No Promo
09/12/2020,Wednesday,2464,16300,1811.111111,No Promo
10/12/2020,Thursday,2394,17740,1971.111111,No Promo
11/12/2020,Friday,1322,10140,1267.5,No Promo
12/12/2020,Saturday,1167,9097,1010.777778,Promotion Blue
13/12/2020,Sunday,1163,8802,880.2,Promotion Blue
14/12/2020,Monday,1772,11679,1297.666667,Promotion Red
15/12/2020,Tuesday,1740,11952,1086.545455,Promotion Red
16/12/2020,Wednesday,1317,9213,1023.666667,No Promo
17/12/2020,Thursday,2330,17618,1601.636364,No Promo
18/12/2020,Friday,2056,18161,2270.125,Promotion Blue
19/12/2020,Saturday,1191,8800,880,Promotion Red
20/12/2020,Sunday,1828,11737,1304.111111,No Promo
21/12/2020,Monday,1605,12038,1203.8,Promotion Blue
22/12/2020,Tuesday,1571,10245,1024.5,Promotion Red
23/12/2020,Wednesday,1288,11817,1181.7,Promotion Blue
24/12/2020,Thursday,2556,19550,1955,No Promo
25/12/2020,Friday,2152,21031,2336.777778,Promotion Blue
26/12/2020,Saturday,2678,36283,4535.375,Promotion Blue
27/12/2020,Sunday,2020,23014,2557.111111,Promotion Blue
28/12/2020,Monday,1480,8611,782.8181818,No Promo
29/12/2020,Tuesday,1226,7793,779.3,Promotion Red
30/12/2020,Wednesday,1328,9180,918,Promotion Red
31/12/2020,Thursday,2295,19280,2410,No Promo
01/01/2021,Friday,2032,21428,1948,Promotion Blue
02/01/2021,Saturday,1030,9062,1006.888889,Promotion Blue
03/01/2021,Sunday,1442,9952,1244,Promotion Blue
04/01/2021,Monday,1476,8563,1070.375,No Promo
05/01/2021,Tuesday,1272,9418,856.1818182,Promotion Red
06/01/2021,Wednesday,2054,25766,2862.888889,Promotion Red
07/01/2021,Thursday,4139,30146,3014.6,No Promo
08/01/2021,Friday,2286,15962,1596.2,No Promo
09/01/2021,Saturday,1371,11249,1406.125,Promotion Blue
10/01/2021,Sunday,1484,12129,1516.125,Promotion Red
11/01/2021,Monday,1571,7300,912.5,No Promo
12/01/2021,Tuesday,1454,8702,870.2,Promotion Red
13/01/2021,Wednesday,1243,7509,834.3333333,No Promo
14/01/2021,Thursday,2753,22797,2072.454545,Promotion Red
15/01/2021,Friday,2312,21245,2655.625,Promotion Blue
16/01/2021,Saturday,1414,11699,1169.9,Promotion Blue
17/01/2021,Sunday,1524,9602,960.2,Promotion Red
18/01/2021,Monday,1469,8633,784.8181818,Promotion Red
19/01/2021,Tuesday,1302,7287,728.7,Promotion Red
20/01/2021,Wednesday,1659,9261,841.9090909,No Promo
21/01/2021,Thursday,2120,14770,1641.111111,No Promo
22/01/2021,Friday,2482,24417,2713,Promotion Blue
23/01/2021,Saturday,1820,11329,1029.909091,No Promo
24/01/2021,Sunday,1628,12445,1244.5,Promotion Red
25/01/2021,Monday,1430,10925,1365.625,Promotion Blue
26/01/2021,Tuesday,488,2898,322,No Promo
